date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:24:24	2587/2587	---MCZ	200	added ('OK')	application/json	date:Sat,%2009%20Apr%202022%2004:24:23%20GMT	https://www.niagaweb.co.id/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.niagaweb.co.id%2F	D:/WEBSITE/WEB%20PARTNER/www.niagaweb.co.id/wp-json/oembed/1.0/embed5210.json	(from https://www.niagaweb.co.id/)
11:24:25	2696/2696	---MCZ	200	added ('OK')	text/xml	date:Sat,%2009%20Apr%202022%2004:24:24%20GMT	https://www.niagaweb.co.id/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.niagaweb.co.id%2F&format=xml	D:/WEBSITE/WEB%20PARTNER/www.niagaweb.co.id/wp-json/oembed/1.0/embeda836	(from https://www.niagaweb.co.id/)
11:24:25	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sat,%2009%20Apr%202022%2004:24:25%20GMT	https://www.googletagmanager.com/gtm.js?id=	D:/WEBSITE/WEB%20PARTNER/www.googletagmanager.com/gtm.1a5445.delayed	(from https://www.niagaweb.co.id/)
11:24:26	101850/101850	---M-Z	200	added ('OK')	application/x-javascript	date:Sat,%2009%20Apr%202022%2004:24:25%20GMT	http://connect.facebook.net/en_US/fbevents.js	D:/WEBSITE/WEB%20PARTNER/connect.facebook.net/en_US/fbevents.js	(from https://www.niagaweb.co.id/)
11:24:26	995/995	---M--	200	added ('OK')	image/png	etag:%22d57480f33b2c56be%22	https://i0.wp.com/www.niagaweb.co.id/wp-content/uploads/2019/07/cropped-Niagaweb-Logo-Favicon.png?fit=32%2C32&ssl=1	D:/WEBSITE/WEB%20PARTNER/i0.wp.com/www.niagaweb.co.id/wp-content/uploads/2019/07/cropped-Niagaweb-Logo-Favicone43b.png	(from https://www.niagaweb.co.id/)
11:24:26	4582/4582	---M--	200	added ('OK')	image/png	etag:%220843c805280dcc68%22	https://i0.wp.com/www.niagaweb.co.id/wp-content/uploads/2019/07/cropped-Niagaweb-Logo-Favicon.png?fit=192%2C192&ssl=1	D:/WEBSITE/WEB%20PARTNER/i0.wp.com/www.niagaweb.co.id/wp-content/uploads/2019/07/cropped-Niagaweb-Logo-Favicon98d8.png	(from https://www.niagaweb.co.id/)
11:24:27	4271/4271	---M--	200	added ('OK')	image/png	etag:%22c3000434b127754d%22	https://i0.wp.com/www.niagaweb.co.id/wp-content/uploads/2019/07/cropped-Niagaweb-Logo-Favicon.png?fit=180%2C180&ssl=1	D:/WEBSITE/WEB%20PARTNER/i0.wp.com/www.niagaweb.co.id/wp-content/uploads/2019/07/cropped-Niagaweb-Logo-Faviconf9b5.png	(from https://www.niagaweb.co.id/)
11:24:27	3795/3795	---M--	200	added ('OK')	image/png	etag:%229aaebbf24d4b4b35%22	https://i0.wp.com/www.niagaweb.co.id/wp-content/uploads/2021/11/niagaweb-by-niagahoster-e1636509899804.png?fit=252%2C70&ssl=1	D:/WEBSITE/WEB%20PARTNER/i0.wp.com/www.niagaweb.co.id/wp-content/uploads/2021/11/niagaweb-by-niagahoster-e163650989980415ed.png	(from https://www.niagaweb.co.id/)
11:24:28	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2009%20Apr%202022%2004:24:28%20GMT	https://www.niagaweb.co.id/%22	D:/WEBSITE/WEB%20PARTNER/www.niagaweb.co.id/_	(from https://www.niagaweb.co.id/)
11:24:28	29170/29170	---MCZ	200	added ('OK')	text/css	etag:W/%2271f2-5d9bfb5c81db8%22	https://www.niagaweb.co.id/wp-content/plugins/elementor-pro/assets/css/widget-nav-menu.min.css	D:/WEBSITE/WEB%20PARTNER/www.niagaweb.co.id/wp-content/plugins/elementor-pro/assets/css/widget-nav-menu.min.css	(from https://www.niagaweb.co.id/)
11:24:33	52391/52391	---M--	200	added ('OK')	image/png	etag:%228ec60b05a7c628be%22	https://i0.wp.com/www.niagaweb.co.id/wp-content/uploads/2021/04/Adit-02.png?fit=550%2C550&ssl=1	D:/WEBSITE/WEB%20PARTNER/i0.wp.com/www.niagaweb.co.id/wp-content/uploads/2021/04/Adit-02abdd.png	(from https://www.niagaweb.co.id/)
11:24:34	325265/325265	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20Apr%202022%2004:24:30%20GMT	https://www.niagaweb.co.id/harga-pembuatan-website/	D:/WEBSITE/WEB%20PARTNER/www.niagaweb.co.id/harga-pembuatan-website/index.html	(from https://www.niagaweb.co.id/)
11:24:34	248924/248924	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20Apr%202022%2004:24:30%20GMT	https://www.niagaweb.co.id/keuntungan-dari-jasa-pembuatan-website-di-niagaweb/	D:/WEBSITE/WEB%20PARTNER/www.niagaweb.co.id/keuntungan-dari-jasa-pembuatan-website-di-niagaweb/index.html	(from https://www.niagaweb.co.id/)
11:24:34	382924/382924	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20Apr%202022%2004:24:31%20GMT	https://www.niagaweb.co.id/pilihan-desain-website/	D:/WEBSITE/WEB%20PARTNER/www.niagaweb.co.id/pilihan-desain-website/index.html	(from https://www.niagaweb.co.id/)
